Dataset Index,Dataset,Dataset Version,Model,Feature Engineering Description,Hyperparameter Description,Avg f1_macro,Std dev between folds,Train-Test Gap,# Columns,Model Complexity,Fit Time
0,disclosure_x_noise,2,kNN,Original Features,,0.45560586340215325,0.048296614187689886,0.23090273804005446,3,0,0.008252716064453125
0,disclosure_x_noise,2,kNN,Arithmetic-based Features,,0.46007995084987935,0.05480007258621292,0.22455036258891786,3,0,0.0031238079071044924
1,wdbc,1,kNN,Original Features,,0.9215416957928845,0.02811952925286497,0.02142741394529113,30,0,0.0
1,wdbc,1,kNN,Arithmetic-based Features,,0.9312255429362114,0.02842162453244358,0.01724192222522347,30,0,11.16019434928894
2,banknote-authentication,1,kNN,Original Features,,1.0,0.0,0.0,4,0,0.003124237060546875
2,banknote-authentication,1,kNN,Arithmetic-based Features,,0.9941070479320737,0.007172438916575442,0.0027580072862740668,4,0,0.012494182586669922
3,thyroid-allbp,1,kNN,Original Features,,0.3120621942357318,0.037363208670641815,0.11935150797414457,26,0,0.0031226634979248046
3,thyroid-allbp,1,kNN,Arithmetic-based Features,,0.27855185362498447,0.036468613063098815,0.13289301990210511,26,0,0.08506388664245605
4,yeast,1,kNN,Original Features,,0.5272794267243436,0.04076764745142041,0.1249582380656894,8,0,0.0
4,yeast,1,kNN,Arithmetic-based Features,,0.4315075467137074,0.03748857841753771,0.11479496921409638,8,0,0.015622520446777343
5,jungle_chess_2pcs_endgame_lion_elephant,1,kNN,Original Features,,0.7562209488259104,0.1396253779142364,0.23069907229272457,58,0,0.01561751365661621
5,jungle_chess_2pcs_endgame_lion_elephant,1,kNN,Arithmetic-based Features,,0.7858181379849082,0.1055484610468102,0.18530527617274373,58,0,14.302942514419556
6,jungle_chess_2pcs_endgame_elephant_elephant,1,kNN,Original Features,,0.6491836992457694,0.06928670508231875,0.21909458771175128,57,0,0.0031242847442626955
6,jungle_chess_2pcs_endgame_elephant_elephant,1,kNN,Arithmetic-based Features,,0.7685018915167754,0.08719449326703362,0.15542460362527688,57,0,6.981510782241822
7,PizzaCutter1,1,kNN,Original Features,,0.4778776310250222,0.0017383224620644282,0.0194948891762034,37,0,0.0
7,PizzaCutter1,1,kNN,Arithmetic-based Features,,0.47746681281208136,0.0011672080024384128,0.04923953772103706,37,0,33.454974508285524
8,balance-scale,2,kNN,Original Features,,0.760698160959721,0.019902403544970283,0.1998512979785484,4,0,0.0
8,balance-scale,2,kNN,Arithmetic-based Features,,0.8602786003419212,0.018366775804546313,0.10941939247949839,4,0,0.012496042251586913
9,analcatdata_halloffame,2,kNN,Original Features,,0.8116819119762472,0.042049426300038883,0.04202280860194951,23,0,0.006248569488525391
